Date,Open,Highest,Lowest,Close,Range,Range%,Trade,Volume
20/10/2016,3317.179,3324.903,3312.174,3318.604,2.364,0.0713,7923887100,82481095277
19/10/2016,3323.303,3332.52,3309.831,3316.24,-5.092,-0.1533,10116772500,96354442199
18/10/2016,3272.681,3321.332,3272.681,3321.332,43.454,1.3257,10286071400,1.05E+11
17/10/2016,3305.963,3309.009,3271.541,3277.878,-27.97,-0.8461,8611350900,88199418936
14/10/2016,3298.734,3306.685,3285.729,3305.848,3.203,0.097,8231627100,81485597806
13/10/2016,3299.155,3307.409,3292.397,3302.645,2.636,0.0799,8122419800,79923748596
12/10/2016,3299.138,3302.561,3289.753,3300.009,-6.548,-0.198,6866978100,72386912616
11/10/2016,3296.867,3308.004,3292.877,3306.557,12.689,0.3852,8771316300,88213421183
10/10/2016,3265.364,3294.64,3258.958,3293.868,40.584,1.2475,8051926000,89607989896
30/09/2016,3240.177,3260.94,3239.036,3253.284,8.897,0.2742,4497802200,52655734553
29/09/2016,3234.857,3257.766,3234.803,3244.387,13.497,0.4177,5545255600,62220302312
28/09/2016,3243.647,3243.647,3227.996,3230.89,-9.864,-0.3044,4472749800,51996404752
27/09/2016,3214.87,3240.775,3214.441,3240.754,20.471,0.6357,5846055000,66651130361
26/09/2016,3267.69,3267.69,3220.283,3220.283,-55.383,-1.6907,7045218600,78700835132
23/09/2016,3292.278,3293.916,3275.025,3275.666,-15.455,-0.4696,5799398600,68046257250
22/09/2016,3281.471,3303.199,3277.979,3291.121,24.485,0.7495,7575354200,89991761655
21/09/2016,3257.709,3270.902,3254.321,3266.636,9.233,0.2834,5914297900,68957744044
20/09/2016,3264.664,3265.035,3252.388,3257.403,-5.721,-0.1753,5278420600,61626150818
19/09/2016,3242.742,3264.899,3242.742,3263.124,24.395,0.7532,5883108200,67678031642
14/09/2016,3245.737,3254.995,3231.335,3238.729,-21.604,-0.6626,7043269700,79780746436
13/09/2016,3265.337,3269.222,3246.385,3260.333,-2.271,-0.0696,6718028800,76862644231
12/09/2016,3271.87,3276.716,3234.573,3262.604,-55.44,-1.6709,12291768200,1.34E+11
09/09/2016,3339.373,3344.951,3318.044,3318.044,-21.52,-0.6444,8265703600,95471188732
08/09/2016,3338.008,3343.395,3328.226,3339.564,-1.253,-0.0375,7191615800,83742346850
07/09/2016,3344.065,3357.356,3337.75,3340.817,-1.808,-0.0541,10294010600,1.15E+11
06/09/2016,3322.018,3347.951,3300.125,3342.625,22.945,0.6912,9828399800,1.18E+11
05/09/2016,3321.005,3338.419,3314.629,3319.68,5.566,0.1679,7829247700,87531089645
02/09/2016,3298.721,3320.425,3295.755,3314.114,12.538,0.3798,8279180300,99396378584
01/09/2016,3326.738,3329.345,3301.212,3301.576,-26.217,-0.7878,8494721900,1.01E+11
31/08/2016,3310.565,3333.972,3304.655,3327.793,15.806,0.4772,7957080500,99215044445
30/08/2016,3310.318,3325.121,3304.596,3311.987,4.206,0.1272,7572598700,89513016667
29/08/2016,3306.574,3315.078,3297.069,3307.781,0.691,0.0209,7703633300,88011642022
26/08/2016,3312.499,3328.945,3301.735,3307.09,-1.882,-0.0569,8153069100,93213205560
25/08/2016,3314.084,3315.081,3279.806,3308.972,-20.891,-0.6274,10058915300,1.13E+11
24/08/2016,3341.93,3348.129,3323.725,3329.863,-11.966,-0.3581,8119142900,94012832200
23/08/2016,3332.621,3359.647,3324.96,3341.829,5.035,0.1509,9292451600,1.09E+11
22/08/2016,3364.681,3372.833,3335.469,3336.794,-28.225,-0.8388,10795100800,1.28E+11
19/08/2016,3358.555,3374.045,3341.192,3365.019,0.534,0.0159,11996150800,1.35E+11
18/08/2016,3369.947,3394.791,3349.687,3364.485,-8.562,-0.2538,14238016900,1.72E+11
17/08/2016,3377.771,3394.388,3356.924,3373.047,-5.198,-0.1539,13884768800,1.68E+11
16/08/2016,3403.383,3418.688,3372.02,3378.245,-15.178,-0.4473,19638974000,2.27E+11
15/08/2016,3303.468,3417.914,3302.377,3393.423,99.19,3.011,22054342100,2.59E+11
12/08/2016,3231.806,3294.233,3231.136,3294.233,60.873,1.8827,11625404400,1.29E+11
11/08/2016,3239.558,3274.026,3232.612,3233.36,-9.98,-0.3077,10104121300,1.17E+11
10/08/2016,3255.182,3261.86,3242.75,3243.34,-13.641,-0.4188,9043037200,1.06E+11
09/08/2016,3232.603,3257.333,3229.174,3256.981,22.798,0.7049,9106525900,1.06E+11
08/08/2016,3199.572,3234.479,3187.252,3234.183,29.073,0.9071,8667605100,1.03E+11
05/08/2016,3201.354,3224.873,3192.861,3205.11,3.822,0.1194,7719636600,94429542391
04/08/2016,3190.546,3201.553,3170.418,3201.288,7.781,0.2437,7350437300,86919591121
03/08/2016,3179.684,3197.157,3173.535,3193.507,4.455,0.1397,7286410200,79754323301
02/08/2016,3173.757,3189.052,3165.542,3189.052,12.243,0.3854,6216763900,70640763842
01/08/2016,3196.425,3199.975,3156.748,3176.809,-27.121,-0.8465,8700349700,98818634361
29/07/2016,3217.192,3225.418,3198.683,3203.93,-17.206,-0.5342,8804483700,1.04E+11
28/07/2016,3204.464,3235.781,3195.269,3221.136,2.893,0.0899,11277996400,1.37E+11
27/07/2016,3270.083,3276.511,3157.409,3218.243,-51.345,-1.5704,16018866500,1.87E+11
26/07/2016,3228.234,3269.745,3228.007,3269.588,38.703,1.1979,8105108900,1.04E+11
